id,contact,month,day_of_week,duration,campaign
0,telephone,may,mon,261,1
1,telephone,may,mon,149,1
2,telephone,may,mon,226,1
3,telephone,may,mon,151,1
4,telephone,may,mon,307,1
5,telephone,may,mon,198,1
6,telephone,may,mon,139,1
7,telephone,may,mon,217,1
8,telephone,may,mon,380,1
9,telephone,may,mon,50,1
10,telephone,may,mon,55,1
11,telephone,may,mon,222,1
12,telephone,may,mon,137,1
13,telephone,may,mon,293,1
14,telephone,may,mon,146,1
15,telephone,may,mon,174,1
16,telephone,may,mon,312,1
17,telephone,may,mon,440,1
18,telephone,may,mon,353,1
19,telephone,may,mon,195,1
20,telephone,may,mon,38,1
21,telephone,may,mon,262,1
22,telephone,may,mon,342,1
23,telephone,may,mon,181,1
24,telephone,may,mon,172,1
25,telephone,may,mon,99,1
26,telephone,may,mon,93,1
27,telephone,may,mon,233,1
28,telephone,may,mon,255,2
29,telephone,may,mon,362,1
30,telephone,may,mon,348,1
31,telephone,may,mon,386,1
32,telephone,may,mon,73,1
33,telephone,may,mon,230,1
34,telephone,may,mon,208,1
35,telephone,may,mon,336,1
36,telephone,may,mon,365,1
37,telephone,may,mon,1666,1
38,telephone,may,mon,577,1
39,telephone,may,mon,137,1
40,telephone,may,mon,366,1
41,telephone,may,mon,314,1
42,telephone,may,mon,160,1
43,telephone,may,mon,212,1
44,telephone,may,mon,188,1
45,telephone,may,mon,22,1
46,telephone,may,mon,616,1
47,telephone,may,mon,178,1
48,telephone,may,mon,355,1
49,telephone,may,mon,225,2
50,telephone,may,mon,160,1
51,telephone,may,mon,266,1
52,telephone,may,mon,253,1
53,telephone,may,mon,179,1
54,telephone,may,mon,269,2
55,telephone,may,mon,135,1
56,telephone,may,mon,161,1
57,telephone,may,mon,787,1
58,telephone,may,mon,145,1
59,telephone,may,mon,174,1
60,telephone,may,mon,449,1
61,telephone,may,mon,812,1
62,telephone,may,mon,164,1
63,telephone,may,mon,366,1
64,telephone,may,mon,357,1
65,telephone,may,mon,232,1
66,telephone,may,mon,91,1
67,telephone,may,mon,273,1
68,telephone,may,mon,158,2
69,telephone,may,mon,177,1
70,telephone,may,mon,200,1
71,telephone,may,mon,172,1
72,telephone,may,mon,176,1
73,telephone,may,mon,211,1
74,telephone,may,mon,214,1
75,telephone,may,mon,1575,1
76,telephone,may,mon,349,1
77,telephone,may,mon,337,2
78,telephone,may,mon,272,1
79,telephone,may,mon,208,1
80,telephone,may,mon,193,1
81,telephone,may,mon,212,1
82,telephone,may,mon,165,2
83,telephone,may,mon,1042,1
84,telephone,may,mon,20,1
85,telephone,may,mon,246,1
86,telephone,may,mon,529,2
87,telephone,may,mon,192,1
88,telephone,may,mon,1467,1
89,telephone,may,mon,188,2
90,telephone,may,mon,180,2
91,telephone,may,mon,48,1
92,telephone,may,mon,213,2
93,telephone,may,mon,545,1
94,telephone,may,mon,583,1
95,telephone,may,mon,221,1
96,telephone,may,mon,426,1
97,telephone,may,mon,287,1
98,telephone,may,mon,197,1
99,telephone,may,mon,257,1
100,telephone,may,mon,229,1
101,telephone,may,mon,55,3
102,telephone,may,mon,400,1
103,telephone,may,mon,197,1
104,telephone,may,mon,190,1
105,telephone,may,mon,21,1
106,telephone,may,mon,300,2
107,telephone,may,mon,123,2
108,telephone,may,mon,293,1
109,telephone,may,mon,325,1
110,telephone,may,mon,514,1
111,telephone,may,mon,849,2
112,telephone,may,mon,194,1
113,telephone,may,mon,212,2
114,telephone,may,mon,337,2
115,telephone,may,mon,286,1
116,telephone,may,mon,247,2
117,telephone,may,mon,518,1
118,telephone,may,mon,364,1
119,telephone,may,mon,178,1
120,telephone,may,mon,98,1
121,telephone,may,mon,439,1
122,telephone,may,mon,139,1
123,telephone,may,mon,79,1
124,telephone,may,mon,175,1
125,telephone,may,mon,262,2
126,telephone,may,mon,61,1
127,telephone,may,mon,78,1
128,telephone,may,mon,102,2
129,telephone,may,mon,579,1
130,telephone,may,mon,143,1
131,telephone,may,mon,677,1
132,telephone,may,mon,267,1
133,telephone,may,mon,345,1
134,telephone,may,mon,185,1
135,telephone,may,mon,207,1
136,telephone,may,mon,69,2
137,telephone,may,mon,100,2
138,telephone,may,mon,125,2
139,telephone,may,mon,461,1
140,telephone,may,mon,240,1
141,telephone,may,mon,70,1
142,telephone,may,mon,193,1
143,telephone,may,mon,136,1
144,telephone,may,mon,73,1
145,telephone,may,mon,528,1
146,telephone,may,mon,541,1
147,telephone,may,mon,338,1
148,telephone,may,mon,163,1
149,telephone,may,mon,87,1
150,telephone,may,mon,301,1
151,telephone,may,mon,46,1
152,telephone,may,mon,52,1
153,telephone,may,mon,204,1
154,telephone,may,mon,155,1
155,telephone,may,mon,98,1
156,telephone,may,mon,71,1
157,telephone,may,mon,243,1
158,telephone,may,mon,186,2
159,telephone,may,mon,579,2
160,telephone,may,mon,165,2
161,telephone,may,mon,163,2
162,telephone,may,mon,46,1
163,telephone,may,mon,559,3
164,telephone,may,mon,2033,1
165,telephone,may,mon,85,1
166,telephone,may,mon,506,1
167,telephone,may,mon,114,2
168,telephone,may,mon,114,2
169,telephone,may,mon,843,2
170,telephone,may,mon,181,1
171,telephone,may,mon,427,1
172,telephone,may,mon,292,1
173,telephone,may,mon,192,1
174,telephone,may,mon,93,3
175,telephone,may,mon,128,2
176,telephone,may,mon,107,1
177,telephone,may,mon,303,2
178,telephone,may,mon,81,1
179,telephone,may,mon,270,1
180,telephone,may,mon,228,1
181,telephone,may,mon,240,1
182,telephone,may,mon,673,2
183,telephone,may,mon,233,3
184,telephone,may,mon,102,1
185,telephone,may,mon,461,1
186,telephone,may,mon,250,1
187,telephone,may,mon,130,1
188,telephone,may,mon,252,1
189,telephone,may,mon,138,1
190,telephone,may,mon,412,1
191,telephone,may,mon,179,2
192,telephone,may,mon,19,2
193,telephone,may,mon,228,2
194,telephone,may,mon,55,1
195,telephone,may,mon,717,1
196,telephone,may,mon,313,1
197,telephone,may,mon,289,1
198,telephone,may,mon,683,2
199,telephone,may,mon,1077,1
200,telephone,may,mon,146,2
201,telephone,may,mon,167,1
202,telephone,may,mon,356,2
203,telephone,may,mon,277,1
204,telephone,may,mon,172,1
205,telephone,may,mon,218,1
206,telephone,may,mon,217,1
207,telephone,may,mon,67,1
208,telephone,may,mon,291,1
209,telephone,may,mon,248,1
210,telephone,may,mon,256,1
211,telephone,may,mon,286,1
212,telephone,may,mon,477,1
213,telephone,may,mon,611,2
214,telephone,may,mon,471,1
215,telephone,may,mon,381,2
216,telephone,may,mon,251,1
217,telephone,may,mon,408,1
218,telephone,may,mon,287,1
219,telephone,may,mon,322,3
220,telephone,may,mon,216,2
221,telephone,may,mon,366,2
222,telephone,may,mon,210,1
223,telephone,may,mon,288,1
224,telephone,may,mon,168,1
225,telephone,may,mon,132,1
226,telephone,may,mon,64,2
227,telephone,may,mon,209,2
228,telephone,may,mon,410,3
229,telephone,may,mon,177,1
230,telephone,may,mon,580,2
231,telephone,may,mon,165,1
232,telephone,may,mon,127,2
233,telephone,may,mon,357,1
234,telephone,may,mon,175,1
235,telephone,may,mon,300,1
236,telephone,may,mon,136,1
237,telephone,may,mon,125,2
238,telephone,may,mon,189,2
239,telephone,may,mon,213,3
240,telephone,may,mon,238,2
241,telephone,may,mon,124,1
242,telephone,may,mon,18,1
243,telephone,may,mon,730,2
244,telephone,may,mon,40,1
245,telephone,may,mon,181,2
246,telephone,may,mon,79,1
247,telephone,may,mon,142,2
248,telephone,may,mon,389,1
249,telephone,may,mon,702,1
250,telephone,may,mon,151,1
251,telephone,may,mon,211,1
252,telephone,may,mon,117,1
253,telephone,may,mon,232,3
254,telephone,may,mon,408,2
255,telephone,may,mon,370,3
256,telephone,may,mon,179,2
257,telephone,may,mon,46,1
258,telephone,may,mon,200,1
259,telephone,may,mon,50,1
260,telephone,may,mon,181,1
261,telephone,may,mon,119,1
262,telephone,may,mon,361,1
263,telephone,may,mon,73,3
264,telephone,may,mon,67,2
265,telephone,may,mon,350,1
266,telephone,may,mon,150,2
267,telephone,may,mon,332,2
268,telephone,may,mon,611,2
269,telephone,may,mon,58,3
270,telephone,may,mon,151,1
271,telephone,may,mon,89,2
272,telephone,may,mon,152,1
273,telephone,may,mon,611,2
274,telephone,may,mon,110,2
275,telephone,may,mon,463,1
276,telephone,may,mon,962,1
277,telephone,may,mon,102,2
278,telephone,may,mon,10,4
279,telephone,may,mon,118,3
280,telephone,may,mon,92,2
281,telephone,may,mon,143,3
282,telephone,may,mon,189,3
283,telephone,may,mon,75,2
284,telephone,may,mon,189,2
285,telephone,may,mon,55,2
286,telephone,may,mon,935,3
287,telephone,may,mon,56,2
288,telephone,may,mon,5,2
289,telephone,may,mon,225,2
290,telephone,may,mon,125,2
291,telephone,may,mon,286,2
292,telephone,may,mon,206,2
293,telephone,may,mon,164,2
294,telephone,may,mon,98,2
295,telephone,may,mon,446,2
296,telephone,may,mon,742,2
297,telephone,may,mon,120,2
298,telephone,may,mon,122,3
299,telephone,may,mon,362,4
300,telephone,may,mon,357,2
301,telephone,may,mon,200,2
302,telephone,may,mon,107,2
303,telephone,may,mon,267,2
304,telephone,may,mon,248,2
305,telephone,may,mon,215,2
306,telephone,may,mon,209,2
307,telephone,may,mon,205,2
308,telephone,may,mon,261,3
309,telephone,may,mon,83,2
310,telephone,may,mon,106,3
311,telephone,may,mon,106,2
312,telephone,may,mon,108,2
313,telephone,may,mon,214,2
314,telephone,may,mon,358,2
315,telephone,may,mon,453,2
316,telephone,may,mon,364,2
317,telephone,may,mon,136,2
318,telephone,may,mon,173,2
319,telephone,may,mon,241,2
320,telephone,may,mon,224,3
321,telephone,may,mon,148,2
322,telephone,may,mon,230,2
323,telephone,may,mon,199,3
324,telephone,may,mon,196,2
325,telephone,may,mon,111,4
326,telephone,may,mon,231,3
327,telephone,may,mon,316,3
328,telephone,may,mon,240,2
329,telephone,may,mon,669,3
330,telephone,may,mon,425,2
331,telephone,may,mon,121,2
332,telephone,may,mon,174,5
333,telephone,may,mon,88,5
334,telephone,may,mon,313,3
335,telephone,may,mon,135,4
336,telephone,may,mon,152,2
337,telephone,may,mon,402,3
338,telephone,may,mon,221,2
339,telephone,may,mon,213,2
340,telephone,may,mon,144,3
341,telephone,may,mon,158,3
342,telephone,may,mon,220,3
343,telephone,may,mon,325,2
344,telephone,may,mon,254,2
345,telephone,may,mon,503,2
346,telephone,may,mon,680,2
347,telephone,may,mon,421,4
348,telephone,may,mon,130,3
349,telephone,may,mon,164,2
350,telephone,may,mon,174,3
351,telephone,may,mon,113,2
352,telephone,may,mon,195,2
353,telephone,may,mon,347,3
354,telephone,may,mon,208,2
355,telephone,may,mon,404,4
356,telephone,may,mon,396,2
357,telephone,may,mon,98,2
358,telephone,may,mon,229,3
359,telephone,may,mon,350,2
360,telephone,may,tue,88,3
361,telephone,may,tue,379,2
362,telephone,may,tue,168,3
363,telephone,may,tue,190,3
364,telephone,may,tue,158,1
365,telephone,may,tue,210,1
366,telephone,may,tue,102,1
367,telephone,may,tue,306,1
368,telephone,may,tue,64,1
369,telephone,may,tue,218,1
370,telephone,may,tue,77,1
371,telephone,may,tue,54,1
372,telephone,may,tue,344,1
373,telephone,may,tue,195,1
374,telephone,may,tue,202,1
375,telephone,may,tue,286,1
376,telephone,may,tue,278,1
377,telephone,may,tue,189,1
378,telephone,may,tue,83,1
379,telephone,may,tue,18,1
380,telephone,may,tue,184,2
381,telephone,may,tue,235,1
382,telephone,may,tue,290,1
383,telephone,may,tue,133,1
384,telephone,may,tue,318,1
385,telephone,may,tue,437,1
386,telephone,may,tue,402,1
387,telephone,may,tue,501,4
388,telephone,may,tue,1201,1
389,telephone,may,tue,1030,1
390,telephone,may,tue,253,1
391,telephone,may,tue,149,1
392,telephone,may,tue,144,1
393,telephone,may,tue,69,1
394,telephone,may,tue,243,1
395,telephone,may,tue,769,2
396,telephone,may,tue,135,3
397,telephone,may,tue,231,1
398,telephone,may,tue,442,2
399,telephone,may,tue,199,1
400,telephone,may,tue,455,1
401,telephone,may,tue,152,1
402,telephone,may,tue,124,1
403,telephone,may,tue,424,1
404,telephone,may,tue,43,1
405,telephone,may,tue,154,1
406,telephone,may,tue,393,1
407,telephone,may,tue,203,2
408,telephone,may,tue,140,2
409,telephone,may,tue,326,1
410,telephone,may,tue,483,1
411,telephone,may,tue,259,1
412,telephone,may,tue,227,1
413,telephone,may,tue,673,1
